ID,Comment Text
241,"I want to ask u guys something,isnt it also u guys are the one being fourteen and like kpop idols who are 25+years old and calling them your baby"
242,"As a soo hyun fan, I think it's time to stop fanning over him.."
243,I'm so disappointed...he was my fav actor.
244,Aren’t these all just allegations?
245,is he the one actor from queen of tears?
246,bro my mom got married when she was 15
247,how did she died??
248,Wait what's goin on? Can someone explain?
249,That’s Crazy
250,She’s a minor. In America that’s ILEGAL. I don’t know how it is in Korea
251,From my other comment let me js say this I don’t support him nd yall was blaming the man for her death nd we have no clue the real reason is nd I don’t nor will i ever support someone who like
252,hey so what happened?
253,Can someone explain this?? i still dont understand
254,I feel grossed out because I used to call him fine
255,We’re never safe. Rip to that beautiful angel.
256,CAN SOMEONE EXPLAIN WHAT HAPPENED !?????
257,I think it was both fault not only his
258,The fact that people are defending him is insane 🙂💔
259,HE WAS 27 AND SHE WAS 15.
260,what happend?
261,"If this is true then it isn’t her, but her family’s and his fault! Because if her family knew about this then why didn’t they try to stop it or speak up about it before? She didn’t deserve this!!"
262,wait what😀
263,NOT defending kim soo hyun here but when he was dating kim sae ron when she was a minor why didn’t HER parents interfere into the relationship when HE (kim soo hyun) and HER parents (sae rons parents)
264,"You all dragged Sea Ron to her death, bullied her, and destroyed her career. Now, you want to shift the blame to Kim Soo Hyun and make him your new target. What's this ppl??"
265,Is that the guy from Queen of Tears? 😭
266,Yes
267,#justiceforkimsaeron
268,What happend pls explain
269,he dated her when she was 15 and he sued her ruining her career
270,"kim saeron, you deserved best :("
271,Idk not even on his side but the netizens need to take responsibility too. You guys are so quick to hate and judge people w/out knowing the full story. Yes he is in the wrong but so are yall. R.I.P🕊️
272,Koreans turn 1 when they were born…. So she was actually 14 years old
273,Wait WHAT?!
274,I really need people to understand a minor can not be a willing participant in a relationship with an adult. This is from an educated standpoint and personal experience of being groomed.
275,boycott ksh
276,It’s scary how history has shown time and time again that it’s those you least expect or not at all! 💀
277,Am not defending him but where was this aunt before? We don't know both sides so lets not be judges for their lives what if it's all wrong it will ruin him so just wait for the justice to be served
278,Kim Soo Hyun ❤❤❤
279,It’s such a shame he ruined his career and her life
280,I am mad bc of the betrayal for not telling the truth and ignoring her plea to let her pay the money little by little knwng she has no work or struggling.
281,I always had a bad feeling about him.
282,I hope she left a boat load of evidence and that her spirit is guiding her family towards her justice.
283,maybe she get in her justice rest easy beautiful 🥹
284,"In my country, there are still people who consider this normal and blame the girl."
285,SHE WAS 15 thats a litterally a child😭
286,Never watching queen of tears the same.
287,the fact that he's actually 37 makes it worse.
288,"No secret lasts forever, and if there is one, it will come out on its own."
289,They've been together for a long time.was he not obligated to pay the debt for her?
290,"Why do I feel like I have seen this happened before, like I swear I had this exact scenario, and now it is actually happening"
291,"NOO MY ""😭😭😭"" COMMENT IS FLOATING SOMEWHERE"
292,"The fact that after watching queen of tears I thought he was the gentleman like actor, u never rlly known them"
293,He got a china money
294,and there are still people supporting him...
295,nothing is worse than them taeil
296,i am so disappointed he was one of my fav actors
297,"there's already evidences he dated her, pictures and chat messages on the Korean channel"
298,DRAKEEEEEE
299,I’m not defending of believing GUYS STOP BELIEVING EVERY THING ON THE DAMN I INTERNET😭😭🙏🏻🙏🏻🙏🏻
300,Not me saying BENZEMAAAAA
301,#justiceforkimsaeron 🥀😢
302,wattpad in reality
303,"What's DUl? How come Kim sae Ron own the company money? Sorry I am confused.
Why she need to pay off the debt?
Something related to the Netflix asking gold medalist to pay? Someone clarify for me pls."
304,rip kim saeron fly high🕊️🕊️🕊️❤️❤️❤️
305,Tbh what do you guys honestly get from spreading all these rumours and trying to drag someone who doesn’t have anything to do with her death 💀 and where was her parents???
306,but wasn't it also her choice?
307,"It was the same with the girl, you tormented her until she was no longer able to stand it, and now that she is no more you are trying to blame someone, so you will never stop?"
308,Still can’t understand why she stayed with him. And why did her parents allowed that. Cause it’s not just his fault here but also her parents I’ll say because they allowed a 27 year old man to dateher
309,we already know who's gonna win for this case 🙁 always the RICH people. he's so rich. there's no justice for people BELOW them 😔
310,Not that Im saying it’s ok to date 16 yo but wasnt the legal consent age in Korea 13 back in 2016? Morally its wrong but apparently was still legal. Korea also failed her if these allegations are true
311,#JUSTICEFORKIMSAERON
312,so it's confirmed they dated when she's minor??
313,what money is she owing her company why don't we tell our self true in industry nobody love each so they can't bring this guy downfall
314,Poor girl died for nothing
315,why her parents didn't say nothing
316,I still can't believe there are people protecting him
317,is true though the YouTube channel is to spread rumors I don't know anything I am not taking sides okay I just know she passed away
318,Not me when i knew that i screamed BENZEMAAAA
319,Omg this song Ahahaha handmaiden so scary for me I remember this movie I wasn’t able to watch it in the cinema cuz of R21 🤣
320,RIP #KimSaeron. justice will prevail. no wonder i never watch #KimSoHyun shows or movies.
321,The doctor revealed she was forced to take abortion while she was just a minor
322,"He was my favorite actor, i can't hate his movies bc it made me happy before.I will hate his action , about what he did."
323,Theres nooooooo proof that they were togethet when she was 15 ! And m not in his side but thers no proof !
324,can somekne tell me qhat happened? did shi die??
325,No cos I felt evil vibes whenever I watch him on kdrama
326,may Ik the issue plsssssp idkkk anything I wanna know
327,"I heard someone said that they met when she was 15 that she wasn’t dating him at the same time, but I need to go digging"
328,It’s normal for me cuz they haven’t found out yet💀
329,okay but why did her parents wait so long to say something? why did they let him date her ??
330,Do you know how tired we are working for God?🤭✌️
331,Oh wow he really spoiled k dramas for me now.. I don’t wanna watch anymore
332,she wasn't forced tho....
333,I love Kim Soo Hyun💙
334,Does South Korea add two more years to your real age? So she was probably actually 13
335,"why can't these people blame those who bully Sae ron, I think you guys are really happy posting something and getting so many likes."
336,K-Drake☠️☠️☠️
337,Rn in korea none cares about it mostly people have no idea
338,Please don’t ask me to prove it🙏
339,i just started watching my first kdrama where Kim Soo hyun acted. WHAT.
340,"This taught me never to say ""mY fAvEs WoUlD nEvEr"" ever again"
341,What a huge disappointment
342,actually she was 14 cuz the age in Korea is different
343,this is the Korean version of two face and Annie
344,The fact he didn't attend her funeral tells you all you need to know!
345,me and Jungkook RN: 👁️👄👁️
346,can someone explain olss😭😭😭
347,Can someone explain the whole story
348,A birthday gift of sae ron to soo hyun is her funeral.
349,Never will I ever watch his dramas
350,disappointed
351,don't come after me please
352,Can't jump into conclusions
353,gojo x yuji same age 😭 🤣🤣🤣
354,bro I have the same Korean name as him💀
355,and yet some ppl are still defending him SHE WAS 15 NOT 18 NOT 20 BUT 15
356,justice for jim saeron. cancel culture for soomen ✅
357,When you find out these informations pls?
358,Are you ready for the truth J?
359,Is the girl dead?
360,I will never trust people ever in my life.
361,I didn’t know it was him
362,oh so this is what he dud
363,I can't believe Kim soo hyun :(
364,Pls guys explain I don’t understand
365,SHE'S JUST A CHİLD
366,Blood hounds in real life
367,And people still support him
368,.. I liked him too
369,what happened
370,what happen
371,Not like us on 🔥
372,wasn't she in bloodhounds?
373,what'd he do?
374,bro im actually dead.
375,s
376,WHAT?!
377,Korea Drake😂
378,I got yo bro
379,what happened?
380,what did he do??
381,Whaaaattttt💀💀💀
382,WHAT??
383,what happened to her?
384,drake
385,La muerte de Kim Sae Ron fue culpa de la misma sociedad Coreana.
386,"mientras ella sufría,el como si nada están injusto q solo porque lo han idealizado,guapo no significa q tengan q apoyarlo las
esperanzas de kim saeron desparecieron con la traición de kimn soo hyun."
387,"woy lu pada jgn cancel ksh doang, aliando juga noh busettt daaahh malah ditonton filmnya 😭"
388,"sadar juga ga si, di indo juga ada aktor yg begini"
389,y sus padres de ella en donde estaban?
390,"ладно, окей. Где была ее тетя, когда она в свои 15 лет встречалась с почти 30-ти летним парнем?"
391,Y los papas también son los culpables
392,"y luego dicen que ella sabía lo que hacía, era una NIÑA todavía!!! a esa edad una piensa que se está comiendo el mundo, ÉL era el adulto! ÉL tenía que alejarse!"
393,"gente, tipo assim, não estou defendendo, mas ele não namorou sozinho não. Ela também quis namorar com ele, e os responsáveis dela autorizaram"
394,você defendendo
395,la sociedad coreana causó su muerte pero sus esperanzas desaparecieron con la traición de Kim soo hyun.
396,Он помогал ей в тот период с деньгами. Не надо слышать и видеть только то что хотите!
397,Padahal suka bngt nonton yg cewek apalgi pas dia masih kecil😭
398,tengo 26 y jamás se me haría atractivo un NIÑO de 15 🤌🏻
399,umur segitu masih minor plus labil kalo ada orang yg baik sama dia pasti dijadiin tempat bergantung dan dia bisa dimanipulasi😭
400,"Su relación duro 6 años , y por ende su familia no hizo nada al respecto, así que no culpen al actor por todo ."
